,0
2011-01-03,100000.0
2011-01-04,99620.91463200003
2011-01-05,99720.12179600004
2011-01-06,99440.84879600003
2011-01-07,99440.84879600005
2011-01-10,99549.05719600005
2011-01-11,99553.04812600004
2011-01-12,99867.92562600004
2011-01-13,99716.71012600002
2011-01-14,99698.96012600005
2011-01-17,99779.34762600003
2011-01-18,99814.07642600003
2011-01-19,99710.65762600001
2011-01-20,99620.60762600003
2011-01-21,99962.93502600002
2011-01-24,100016.41252600003
2011-01-25,99828.94252600003
2011-01-26,100040.93752600004
2011-01-27,99862.78752600003
2011-01-28,99916.63252600003
2011-01-31,100626.75752600002
2011-02-01,101050.69552600001
2011-02-02,101007.64052599999
2011-02-03,101135.90252599999
2011-02-04,101066.15128100003
2011-02-07,100776.08061600002
2011-02-08,101067.02161600004
2011-02-09,101295.29661600004
2011-02-10,101420.89161600001
2011-02-11,101240.45961600002
2011-02-14,101085.12561600003
2011-02-15,100827.96161600002
2011-02-16,100743.474616
2011-02-17,101257.44461600001
2011-02-18,101505.954616
2011-02-21,97730.179616
2011-02-22,97730.179616
2011-02-23,98015.840116
2011-02-24,97601.17291600001
2011-02-25,98135.42291600001
2011-02-28,98356.820116
2011-03-01,98835.53486600003
2011-03-02,98800.71446600003
2011-03-03,98601.71826600003
2011-03-04,99298.32886600003
2011-03-07,99373.16626600001
2011-03-08,99374.078212
2011-03-09,99350.375712
2011-03-10,98902.88821199999
2011-03-11,98876.71289199997
2011-03-14,98938.18602599998
2011-03-15,98238.451026
2011-03-16,98226.45808699998
2011-03-17,98321.628861
2011-03-18,98470.08649299998
2011-03-21,98921.95054999997
2011-03-22,99192.00770099998
2011-03-23,99469.33990100001
2011-03-24,99545.24517500003
2011-03-25,99982.72324700007
2011-03-28,99601.45106700007
2011-03-29,99754.28439600009
2011-03-30,99720.8396900001
2011-03-31,100128.83969000008
2011-04-01,100109.59779000006
2011-04-04,100401.91199000005
2011-04-05,100550.27939000007
2011-04-06,100340.02389000007
2011-04-07,100408.71939000006
2011-04-08,100853.68789000003
2011-04-11,100505.43689000004
2011-04-12,100245.44249000002
2011-04-13,100462.85569
2011-04-14,101015.87928999998
2011-04-15,101207.82828999998
2011-04-18,101216.42128999997
2011-04-19,101498.50128999996
2011-04-20,101814.29648999996
2011-04-21,102161.75968999999
2011-04-25,102229.48468999998
2011-04-26,102060.58468999999
2011-04-27,102576.865178
2011-04-28,102654.70517799999
2011-04-29,102749.63017799999
2011-05-02,101937.254504
2011-05-03,102028.86800399999
2011-05-04,101633.32888399999
2011-05-05,101669.369064
2011-05-06,101629.361054
2011-05-09,101678.51735
2011-05-10,101578.265216
2011-05-11,101548.730234
2011-05-12,101477.24605800002
2011-05-13,101509.74836800002
2011-05-16,101541.44687000001
2011-05-17,101659.29533800003
2011-05-18,102309.649553
2011-05-19,102150.632483
2011-05-20,102525.40088299998
2011-05-23,102227.480932
2011-05-24,102192.91907599999
2011-05-25,102667.935246
2011-05-26,102730.43455100001
2011-05-27,102935.90974499998
2011-05-30,102731.75451499998
2011-05-31,102855.26651499997
2011-06-01,102438.34351499997
2011-06-02,102600.58351499998
2011-06-03,102495.96251499996
2011-06-06,102056.85301499997
2011-06-07,102441.78814699996
2011-06-08,102426.20892499997
2011-06-09,102688.58823299996
2011-06-10,102462.55823299996
2011-06-13,102181.60010399997
2011-06-14,102105.00378399997
2011-06-15,101859.92834599999
2011-06-16,101863.79964999997
2011-06-17,102124.95935299998
2011-06-20,102294.34687200001
2011-06-21,102408.84687200001
2011-06-22,102224.47187200001
2011-06-23,102386.381798
2011-06-24,102217.735861
2011-06-27,101750.797636
2011-06-28,101824.90763599999
2011-06-29,101890.77763599998
2011-06-30,101621.98213599999
2011-07-01,102114.19933599999
2011-07-04,90736.47833599999
2011-07-05,90736.47833599999
2011-07-06,90682.22383599996
2011-07-07,91010.50083599995
2011-07-08,91002.18383599995
2011-07-11,90971.10383599997
2011-07-12,91108.52573599997
2011-07-13,91314.53333599995
2011-07-14,91149.03983599995
2011-07-15,91347.44437999997
2011-07-18,91297.26037999998
2011-07-19,90987.97037999996
2011-07-20,90940.70937999996
2011-07-21,90764.88927999994
2011-07-22,90954.98488999993
2011-07-25,90357.61451999994
2011-07-26,90405.71451999992
2011-07-27,90356.46811999992
2011-07-28,90331.28253999993
2011-07-29,90524.29091999993
2011-08-01,90383.54642599993
2011-08-02,90634.62626599992
2011-08-03,90716.0240159999
2011-08-04,89571.9518039999
2011-08-05,89647.29909399987
2011-08-08,89795.36641799987
2011-08-09,90050.95051799987
2011-08-10,90252.97551799986
2011-08-11,90054.97551799986
2011-08-12,89967.84306999986
2011-08-15,90127.36102999987
2011-08-16,90312.65389599987
2011-08-17,90210.11414599986
2011-08-18,90245.62078199987
2011-08-19,90466.83626999987
2011-08-22,90927.88889999987
2011-08-23,90428.61889999987
2011-08-24,90016.14389999988
2011-08-25,90064.61045999988
2011-08-26,91117.06778399987
2011-08-29,91194.3161339999
2011-08-30,91319.2455279999
2011-08-31,91404.24552799991
2011-09-01,91226.26552799992
2011-09-02,91316.35552799991
2011-09-05,91125.22552799992
2011-09-06,90633.49052799994
2011-09-07,90418.20952799995
2011-09-08,90173.72102799994
2011-09-09,90222.54102799993
2011-09-12,90035.78602799994
2011-09-13,89872.91102799994
2011-09-14,89704.01742799995
2011-09-15,89595.43758599996
2011-09-16,89179.79224799994
2011-09-19,88490.41170799996
2011-09-20,88666.62999199996
2011-09-21,88439.67155199996
2011-09-22,88097.82135199996
2011-09-23,88163.51827699998
2011-09-26,88406.22765699997
2011-09-27,88410.30216199998
2011-09-28,88363.17603799998
2011-09-29,88427.13329299996
2011-09-30,88559.20593299999
2011-10-03,88562.78235499997
2011-10-04,88482.33219599997
2011-10-05,88537.61120999997
2011-10-06,88571.95770199999
2011-10-07,88565.36159799997
2011-10-10,88328.88886199998
2011-10-11,88405.72845999998
2011-10-12,88235.09779999996
2011-10-13,88589.09617399995
2011-10-14,88766.90117399994
2011-10-17,88762.76487399991
2011-10-18,89028.3656739999
2011-10-19,88729.99587399987
2011-10-20,88617.01647399989
2011-10-21,88664.31527399986
2011-10-24,88732.58207399987
2011-10-25,88691.41373799989
2011-10-26,88587.0609609999
2011-10-27,89169.55816099988
2011-10-28,89145.19416099989
2011-10-31,88540.51092299988
2011-11-01,87958.66292299988
2011-11-02,88028.22802299986
2011-11-03,88651.80632299985
2011-11-04,88616.74052299987
2011-11-07,88812.95552299987
2011-11-08,88927.83552299989
2011-11-09,88547.15552299989
2011-11-10,88599.48052299986
2011-11-11,89052.42052299988
2011-11-14,88894.33052299988
2011-11-15,88995.93052299989
2011-11-16,88972.02552299987
2011-11-17,88221.52552299986
2011-11-18,88249.99092499987
2011-11-21,88120.88474899987
2011-11-22,88340.79779499987
2011-11-23,88150.02279499988
2011-11-24,88244.11395499988
2011-11-25,88229.13445499988
2011-11-28,88149.51860499987
2011-11-29,88347.51789399987
2011-11-30,88530.78323399989
2011-12-01,88375.81043399987
2011-12-02,88288.39961799986
2011-12-05,88043.82261799987
2011-12-06,88236.61821999986
2011-12-07,88057.78035799987
2011-12-08,87453.22263399986
2011-12-09,87700.48038699987
2011-12-12,87236.00638699988
2011-12-13,87142.10978699988
2011-12-14,86208.71678699987
2011-12-15,86190.73088699987
2011-12-16,86288.22528699988
2011-12-19,86235.37038699986
2011-12-20,86506.86321499986
2011-12-21,86743.98705599984
2011-12-22,86792.62672199984
2011-12-23,86911.01755399983
2011-12-27,87327.39879199983
2011-12-28,87501.78300999982
2011-12-29,87388.78300999981
2011-12-30,87620.50646199982
2012-01-03,87898.35829799982
2012-01-04,87906.35829799982
2012-01-05,87537.85829799982
2012-01-06,87449.11829799981
2012-01-09,87929.95077599981
2012-01-10,87898.1307759998
2012-01-11,87710.87077599979
2012-01-12,86996.88577599978
2012-01-13,86892.24767199978
2012-01-17,87218.57442199979
2012-01-18,87298.55828199978
2012-01-19,87337.7997029998
2012-01-20,87185.51470299979
2012-01-23,87575.1391389998
2012-01-24,87466.73913899981
2012-01-25,87943.27913899979
2012-01-26,88237.57863899978
2012-01-27,88391.68663899979
2012-01-30,88172.61363899978
2012-01-31,88024.45893899977
2012-02-01,88431.83883899977
2012-02-02,88449.34233899978
2012-02-03,88265.55733899979
2012-02-13,88081.26273899977
2012-02-14,88025.33023899977
2012-02-15,88006.99103899978
2012-02-16,87987.07833899978
2012-02-17,88092.80833899978
2012-02-21,88659.02213899975
2012-02-22,88844.12713899976
2012-02-23,89066.36713899975
2012-02-24,89068.29713899975
2012-02-27,88907.58713899975
2012-02-28,88987.17213899974
2012-02-29,88597.12213899975
2012-03-01,88657.32213899973
2012-03-02,88512.74763899975
2012-03-05,88490.00763899976
2012-03-06,88333.54763899975
2012-03-07,88302.64763899974
2012-03-08,88415.99233899974
2012-03-09,88448.60033899973
2012-03-12,88418.31673899973
2012-03-13,88536.81673899973
2012-03-14,88556.31673899973
2012-03-15,88620.81673899973
2012-03-16,88674.31673899973
2012-03-19,88627.81673899973
2012-03-20,88501.81673899973
2012-03-21,88552.72433899972
2012-03-22,88517.67953899971
2012-03-23,88624.68953899971
2012-03-26,88806.6615389997
2012-03-27,88847.46753899971
2012-03-28,88568.55203899973
2012-03-29,88574.30203899973
2012-03-30,88650.38593899974
2012-04-02,88990.04793899975
2012-04-03,89001.90577899975
2012-04-04,88986.36827899975
2012-04-05,89180.43537499977
2012-04-09,89095.80982999978
2012-04-10,89102.13489499979
2012-04-11,89139.62434299978
2012-04-12,89437.32169499979
2012-04-13,89327.4711029998
2012-04-16,89255.37578299982
2012-04-17,89347.2612709998
2012-04-18,89177.68773099981
2012-04-19,89310.24518899982
2012-04-20,89449.11375499982
2012-04-23,89575.9213769998
2012-04-24,89629.3940089998
2012-04-25,89620.9640089998
2012-04-26,89432.3590089998
2012-04-27,89397.8966189998
2012-04-30,89400.56540299981
2012-05-01,89410.49872299982
2012-05-02,89234.33478899983
2012-05-03,88906.29524499981
2012-05-04,88745.7536169998
2012-05-07,88825.65303699982
2012-05-08,88427.83366099984
2012-05-09,88330.79515899983
2012-05-10,88551.24520999982
2012-05-11,88147.92521999982
2012-05-14,88098.81446799982
2012-05-15,88043.19217699982
2012-05-16,88114.93016699982
2012-05-17,88372.33576299982
2012-05-18,88562.09122499982
2012-05-21,88579.70591899983
2012-05-22,88558.27270399983
