,0
2010-09-08,100000.0
2010-09-09,99095.824319
2010-09-10,98802.469319
2010-09-12,99417.02747999999
2010-09-14,100048.35838300001
2010-09-15,98825.203955
2010-09-16,98990.860754
2010-09-17,99287.171191
2010-09-19,99344.720947
2010-09-20,99275.65919899999
2010-09-21,99381.26268399999
2010-09-22,100907.293649
2010-09-23,100829.36559
2010-09-24,101802.440488
2010-09-26,101958.29660599999
2010-09-27,101166.112673
2010-09-28,101984.73300800001
2010-09-29,102404.54208300001
2010-09-30,102703.025914
2010-10-01,103391.612123
2010-10-03,103465.60212299999
2010-10-04,102736.832123
2010-10-05,105909.53212300001
2010-10-06,106739.712123
2010-10-07,105169.022123
2010-10-08,107098.272123
2010-10-10,108337.682123
2010-10-11,107460.87212300001
2010-10-12,107604.992123
2010-10-13,110150.232123
2010-10-14,111759.742123
2010-10-15,110535.862123
2010-10-17,110079.862123
2010-10-18,110512.452123
2010-10-19,106778.272123
2010-10-20,108976.512123
2010-10-21,106131.19212300002
2010-10-22,106458.552123
2010-10-24,107043.262123
2010-10-25,107768.272123
2010-10-26,108898.32212299999
2010-10-27,107374.272123
2010-10-28,108703.552123
2010-10-29,111081.06212300001
2010-10-31,111790.362123
2010-11-01,110839.272123
2010-11-02,111538.47212299999
2010-11-03,111104.87212300001
2010-11-04,115869.672123
2010-11-05,117239.272123
2010-11-07,117892.07212299999
2010-11-08,119132.07212299999
2010-11-09,118517.672123
2010-11-10,117469.672123
2010-11-11,118503.272123
2010-11-12,112885.672123
2010-11-14,112855.272123
2010-11-15,111448.87212300001
2010-11-16,110295.272123
2010-11-18,114610.47212299999
2010-11-19,115308.07212299999
2010-11-21,116298.47212300001
2010-11-22,116029.672123
2010-11-23,114999.272123
2010-11-24,115503.272123
2010-11-25,115485.672123
2010-11-26,53661.672123
2010-11-28,112797.672123
2010-11-29,114218.47212299999
2010-11-30,116624.87212299998
2010-12-01,118402.472123
2010-12-02,120026.822123
2010-12-03,122142.57212299999
2010-12-05,122183.522123
2010-12-06,121487.372123
2010-12-07,120695.672123
2010-12-08,121268.972123
2010-12-09,120955.02212299999
2010-12-10,119931.27212299999
2010-12-12,119453.522123
2010-12-13,120750.272123
2010-12-14,120409.022123
2010-12-15,120559.172123
2010-12-16,120136.022123
2010-12-17,120463.622123
2010-12-19,120641.072123
2010-12-20,121896.87212300001
2010-12-21,123002.52212299999
2010-12-22,123671.37212300001
2010-12-23,124831.622123
2010-12-26,124067.22212299999
2010-12-27,124244.67212300001
2010-12-28,124449.422123
2010-12-29,124476.72212300001
2010-12-30,122470.17212300001
2010-12-31,124817.97212300001
2011-01-02,124667.822123
2011-01-03,124193.063123
2011-01-04,122489.516123
2011-01-05,123117.87362299999
2011-01-06,120520.662623
2011-01-07,119640.96212299999
2011-01-09,120408.95462299998
2011-01-10,119682.85262299998
2011-01-11,121218.83762299998
2011-01-12,123187.69112299998
2011-01-13,122000.79362299999
2011-01-14,123843.97562299999
2011-01-16,124234.953623
2011-01-17,122601.22412299998
2011-01-18,123648.486623
2011-01-19,121707.56012299999
2011-01-20,118831.07912299999
2011-01-21,120436.881623
2011-01-23,120422.918123
2011-01-24,121344.50912299998
2011-01-25,118551.809123
2011-01-26,119892.305123
2011-01-27,120618.407123
2011-01-28,121623.779123
2011-01-30,121107.129623
2011-01-31,124625.931623
2011-02-01,127125.39812299998
2011-02-02,127404.668123
2011-02-03,126971.799623
2011-02-04,128242.47812299998
2011-02-06,127963.20812299999
2011-02-07,126901.98212299998
2011-02-08,128326.25912299998
2011-02-09,126371.369123
2011-02-10,127069.54412299999
2011-02-11,127083.50762300001
2011-02-13,127460.522123
2011-02-14,129610.90112299999
2011-02-15,126455.15012299998
2011-02-16,125449.778123
2011-02-17,126008.31812299998
2011-02-18,125030.873123
2011-02-20,125477.705123
2011-02-21,125156.54462299998
2011-02-22,120953.53112300001
2011-02-23,120339.137123
2011-02-24,121162.983623
2011-02-25,124374.58862299999
2011-02-27,123969.647123
2011-02-28,125435.814623
2011-03-01,124779.53012299999
2011-03-02,124986.319823
2011-03-03,125010.64802299999
2011-03-04,124998.48392299999
2011-03-06,125132.28902299998
2011-03-07,124974.15572299999
2011-03-08,125253.930023
2011-03-09,125558.03252299999
2011-03-10,124743.03782299999
2011-03-11,124743.03782299999
2011-03-13,124901.17112299998
2011-03-14,124609.23272299998
2011-03-15,123380.65862299998
2011-03-16,122322.381923
2011-03-17,123307.67402299999
2011-03-18,123222.52532299997
2011-03-20,123417.15092299998
2011-03-21,124037.52002299999
2011-03-22,123660.43292299997
2011-03-23,123818.56622299999
2011-03-24,124317.29432299998
2011-03-25,123782.07392299999
2011-03-27,123709.08932299996
2011-03-28,124171.32512299997
2011-03-29,124694.38142299997
2011-03-30,124937.66342299998
2011-03-31,125205.273623
2011-04-01,126068.92472299997
2011-04-03,126427.50472299996
2011-04-04,127373.60972299997
2011-04-05,128095.89472299996
2011-04-06,128980.58972299997
2011-04-07,130094.89972299997
2011-04-08,133967.71472299995
2011-04-10,134595.814723
2011-04-11,130745.39472299996
2011-04-12,128318.53472299998
2011-04-13,129989.23472299997
2011-04-14,133637.38472299994
2011-04-15,135371.05472299998
2011-04-17,135676.73972299998
2011-04-18,134440.76972299995
2011-04-19,135963.54472299997
2011-04-20,140094.84972299996
2011-04-21,143009.88972299994
2011-04-24,144320.28972299997
2011-04-25,142964.28472299996
2011-04-26,141965.36472299998
2011-04-27,146302.92972299998
2011-04-28,146041.82972299994
2011-04-29,145867.944723
2011-05-01,138789.70472299994
2011-05-02,139933.50472299996
2011-05-03,134030.18472299993
2011-05-04,129751.10472299994
2011-05-05,120373.40472299996
2011-05-06,123428.76472299994
2011-05-08,123663.62472299996
