,0
2011-01-03,100000.0
2011-01-04,98964.405
2011-01-05,99707.6275
2011-01-06,98667.2505
2011-01-07,98827.37300200001
2011-01-10,99240.47660200001
2011-01-11,98899.47660200001
2011-01-12,99625.56260199999
2011-01-13,99178.189102
2011-01-14,98916.189102
2011-01-17,98850.970902
2011-01-18,99009.52060199998
2011-01-19,98992.326802
2011-01-20,98730.27680200001
2011-01-21,99552.076802
2011-01-24,100181.326802
2011-01-25,98638.94680200002
2011-01-26,100815.47180200001
2011-01-27,100245.34680200001
2011-01-28,100214.346802
2011-01-31,101827.626802
2011-02-01,103086.84680199999
2011-02-02,102520.28180199998
2011-02-03,102988.46680199998
2011-02-04,102874.40680199998
2011-02-07,102231.02680199998
2011-02-08,103242.57680199997
2011-02-09,103902.39680199997
2011-02-10,104239.50680199996
2011-02-11,103592.07680199997
2011-02-14,102887.37680199996
2011-02-15,102234.94480199995
2011-02-16,102208.49480199994
2011-02-17,104433.39480199994
2011-02-18,105501.14980199994
2011-02-21,72154.19980199993
2011-02-22,70877.16980199993
2011-02-23,71467.09980199992
2011-02-24,70576.85180199993
2011-02-25,71480.46180199992
2011-02-28,72206.91180199993
2011-03-01,73113.24940199993
2011-03-02,73051.00300199992
2011-03-03,72532.86760199993
2011-03-04,74238.17510199992
2011-03-07,74231.75890199994
2011-03-08,74224.02390199991
2011-03-09,74204.51140199992
2011-03-10,73133.35930199991
2011-03-11,73023.23430199991
2011-03-14,73176.3041889999
2011-03-15,71020.8130889999
2011-03-16,71132.10186699989
2011-03-17,72871.39200499989
2011-03-18,72789.52785899988
2011-03-21,73099.09093799989
2011-03-22,73716.86593799989
2011-03-23,74325.70593799988
2011-03-24,74531.75593799987
2011-03-25,75602.78093799987
2011-03-28,75292.88093799987
2011-03-29,75805.00093799987
2011-03-30,75763.94593799987
2011-03-31,76694.52593799986
2011-04-01,76752.46093799986
2011-04-04,77391.25093799985
2011-04-05,77567.92593799984
2011-04-06,77232.71593799983
2011-04-07,77164.18093799982
2011-04-08,78803.48843799983
2011-04-11,78357.71883799983
2011-04-12,77870.88843799982
2011-04-13,78124.67723799983
2011-04-14,79411.71303799981
2011-04-15,80065.15353799981
2011-04-18,80188.51933799981
2011-04-19,80934.06933799981
2011-04-20,81785.65293799981
2011-04-21,82709.32183799981
2011-04-25,82858.83643799982
2011-04-26,82561.21913799984
2011-04-27,83856.33000999982
2011-04-28,84080.61300999984
2011-04-29,84534.54680999983
2011-05-02,82278.36377399982
2011-05-03,82508.77653399983
2011-05-04,81380.85099999984
2011-05-05,79037.00492399982
2011-05-06,78541.00360199982
2011-05-09,78691.30163399983
2011-05-10,78796.85793699983
2011-05-11,78446.64725099983
2011-05-12,78047.24269899982
2011-05-13,78050.87181999983
2011-05-16,78210.59634999982
2011-05-17,78511.44135799982
2011-05-18,79692.99654299983
2011-05-19,79436.9675409998
2011-05-20,79582.34754099979
2011-05-23,78886.3223269998
2011-05-24,78669.34732699979
2011-05-25,79217.40732699979
2011-05-26,79470.73132699978
2011-05-27,79626.74932199979
2011-05-30,79319.96732199978
2011-05-31,79642.96732199978
2011-06-01,79127.15132199979
2011-06-02,79649.25132199979
2011-06-03,79470.45132199979
2011-06-06,78309.16032199979
2011-06-07,78732.1803219998
2011-06-08,78274.59082199981
2011-06-09,78379.3908219998
2011-06-10,77059.9108219998
2011-06-13,76561.5624079998
2011-06-14,75789.56722399981
2011-06-15,75647.68794699982
2011-06-16,75534.79824999979
2011-06-17,76323.8135249998
